Player,Nation,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Dribbles,Shots,Fouls,Def,GCA,GCA90
Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,7.7,21,2.74,9,9,0,2,1,0,3,0.39
Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,16.5,30,1.82,29,0,0,0,1,0,2,0.12
William Thomas Fish\William-Thomas-Fish,eng ENG,DF,Manchester Utd,0,0,0,0,0,0,0,0,0,0,0
Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,10.8,14,1.3,11,0,0,1,1,1,3,0.28
Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,37.3,109,2.92,83,12,2,4,4,4,16,0.43
Kieran Tierney\Kieran-Tierney,sct SCO,DF,Arsenal,25.5,58,2.27,46,2,5,1,4,0,7,0.27
James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,6.1,3,0.49,2,0,0,1,0,0,0,0
Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,0.5,0,0,0,0,0,0,0,0,0,0
Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,14.5,40,2.76,25,2,6,1,5,1,6,0.41
Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,0.5,2,3.75,2,0,0,0,0,0,1,1.87
Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,25.1,66,2.63,36,17,7,0,3,3,7,0.28
Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,24.8,39,1.57,31,3,0,3,1,1,4,0.16
Adama Traoré\Adama-Traore,es ESP,FW,Wolves,29.4,113,3.84,74,0,21,3,13,2,6,0.2
Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,25.7,78,3.03,36,10,16,6,9,1,9,0.35
Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,13,32,2.47,21,0,3,4,4,0,2,0.15
Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,29,100,3.45,73,9,5,6,4,3,11,0.38
Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,0.1,0,0,0,0,0,0,0,0,0,0
Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,4.5,0,0,0,0,0,0,0,0,0,0
Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,3.1,13,4.16,10,0,2,1,0,0,2,0.64
Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,1.1,0,0,0,0,0,0,0,0,0,0
Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,31.6,64,2.03,37,0,12,8,6,1,21,0.67
Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,25.3,41,1.62,31,5,0,2,1,2,1,0.04
Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,28.6,20,0.7,17,0,0,2,1,0,4,0.14
Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,1.9,0,0,0,0,0,0,0,0,0,0
Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,3.4,4,1.17,4,0,0,0,0,0,0,0
